equipo local,goles local,goles visita,equipo visita
Charlotte FC,2.0,0.0,New York Red Bulls
Nashville SC,0.0,0.0,San José Earthquakes
Sporting Kansas City,1.0,2.0,New England Revolution
New England Revolution,1.0,1.0,Orlando City
Toronto FC,1.0,2.0,Columbus Crew
FC Cincinnati,4.0,4.0,New York City
Chicago Fire,1.0,0.0,Philadelphia Union
Seattle Sounders,1.0,2.0,Montreal Impact
Portland Timbers,2.0,1.0,Houston Dynamo
Los Angeles FC,3.0,1.0,FC Dallas
Charlotte FC,0.0,1.0,Austin FC
New York Red Bulls,2.0,1.0,Atlanta United FC
0,0.0,0.0,0
0,0.0,0.0,0
